trans_date_trans_time,cc_num,merchant,category,amt,city,job,dob
2020-06-21 22:06:39,3560725013359375,Hamill-D'Amore,health_fitness,24.84,Notrees,Cytogeneticist,1969-09-15
2020-06-21 22:32:22,6564459919350820,"Rodriguez, Yost and Jenkins",misc_net,780.52,Benton,Public relations officer,1958-09-10
2020-06-21 22:37:27,6564459919350820,Nienow PLC,entertainment,620.33,Benton,Public relations officer,1958-09-10
2020-06-21 22:38:55,4005676619255478,"Heathcote, Yost and Kertzmann",shopping_net,1077.69,Denham Springs,Herbalist,1994-05-31
2020-06-21 23:02:16,3560725013359375,Hermann and Sons,shopping_pos,842.65,Notrees,Cytogeneticist,1969-09-15
2020-06-21 23:16:12,3524574586339330,Thompson-Gleason,health_fitness,22.55,Vero Beach,"Librarian, public",1986-05-07
2020-06-21 23:21:44,4005676619255478,Kuhic LLC,shopping_net,1128.26,Denham Springs,Herbalist,1994-05-31
2020-06-21 23:35:27,4005676619255478,"Reichert, Rowe and Mraz",shopping_net,931.82,Denham Springs,Herbalist,1994-05-31
2020-06-21 23:40:26,4005676619255478,"Kihn, Abernathy and Douglas",shopping_net,983.0,Denham Springs,Herbalist,1994-05-31
2020-06-21 23:59:05,6564459919350820,Lemke-Gutmann,shopping_net,955.16,Benton,Public relations officer,1958-09-10
2020-06-22 00:06:40,4005676619255478,"Rodriguez, Yost and Jenkins",misc_net,701.81,Denham Springs,Herbalist,1994-05-31
2020-06-22 01:18:02,3524574586339330,"Yost, Block and Koepp",misc_pos,8.39,Vero Beach,"Librarian, public",1986-05-07
2020-06-22 01:25:13,4005676619255478,"Goldner, Kovacek and Abbott",grocery_pos,326.94,Denham Springs,Herbalist,1994-05-31
2020-06-22 01:54:33,3524574586339330,"Osinski, Ledner and Leuschke",grocery_pos,353.08,Vero Beach,"Librarian, public",1986-05-07
2020-06-22 03:38:35,4005676619255478,"Kerluke, Considine and Macejkovic",misc_net,868.48,Denham Springs,Herbalist,1994-05-31
2020-06-22 03:48:20,3524574586339330,Skiles-Ankunding,grocery_net,13.25,Vero Beach,"Librarian, public",1986-05-07
